,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-07-01,1.95407511904479,-57.408705915302164,49.1523723018589,1.95407511904479,1.95407511904479,-6.79470649494116,-6.79470649494116,-6.79470649494116,-0.656287781546298,-0.656287781546298,-0.656287781546298,-6.138418713394861,-6.138418713394861,-6.138418713394861,0.0,0.0,0.0,-4.84063137589637
1,2010-07-02,1.964844469392733,-61.81212038878671,55.083629157562825,1.964844469392733,1.964844469392733,-6.715524883103613,-6.715524883103613,-6.715524883103613,-1.0535156581758127,-1.0535156581758127,-1.0535156581758127,-5.6620092249278,-5.6620092249278,-5.6620092249278,0.0,0.0,0.0,-4.75068041371088
2,2010-07-06,2.007921870784504,-61.778863488970394,56.370458834834736,2.007921870784504,2.007921870784504,-4.337769771793591,-4.337769771793591,-4.337769771793591,-0.33744240435397416,-0.33744240435397416,-0.33744240435397416,-4.000327367439616,-4.000327367439616,-4.000327367439616,0.0,0.0,0.0,-2.3298479010090865
3,2010-07-07,2.0186912211324466,-62.99078923944974,52.312418482174344,2.0186912211324466,2.0186912211324466,-3.853903317593378,-3.853903317593378,-3.853903317593378,-0.17967112601298646,-0.17967112601298646,-0.17967112601298646,-3.674232191580392,-3.674232191580392,-3.674232191580392,0.0,0.0,0.0,-1.8352120964609315
4,2010-07-08,2.0294605714803895,-57.72128375687642,54.686934850316945,2.0294605714803895,2.0294605714803895,-4.049472812600148,-4.049472812600148,-4.049472812600148,-0.6562877815469261,-0.6562877815469261,-0.6562877815469261,-3.3931850310532212,-3.3931850310532212,-3.3931850310532212,0.0,0.0,0.0,-2.0200122411197583
5,2010-07-09,2.0402299218283324,-59.10408789361338,57.14410818311867,2.0402299218283324,2.0402299218283324,-4.214005596373293,-4.214005596373293,-4.214005596373293,-1.0535156581774365,-1.0535156581774365,-1.0535156581774365,-3.160489938195857,-3.160489938195857,-3.160489938195857,0.0,0.0,0.0,-2.173775674544961
6,2010-07-12,2.0725379728721607,-54.4355971111951,55.80160105274018,2.0725379728721607,2.0725379728721607,-2.9820810468178105,-2.9820810468178105,-2.9820810468178105,-0.21081261079915753,-0.21081261079915753,-0.21081261079915753,-2.7712684360186532,-2.7712684360186532,-2.7712684360186532,0.0,0.0,0.0,-0.9095430739456498
7,2010-07-13,2.0833073232201036,-60.40571587419188,56.58641730623854,2.0833073232201036,2.0833073232201036,-3.0830804623784283,-3.0830804623784283,-3.0830804623784283,-0.3374424043531632,-0.3374424043531632,-0.3374424043531632,-2.745638058025265,-2.745638058025265,-2.745638058025265,0.0,0.0,0.0,-0.9997731391583247
8,2010-07-14,2.0940766735680465,-58.354847278725956,54.52055182553882,2.0940766735680465,2.0940766735680465,-2.949714898055762,-2.949714898055762,-2.949714898055762,-0.1796711260139967,-0.1796711260139967,-0.1796711260139967,-2.770043772041765,-2.770043772041765,-2.770043772041765,0.0,0.0,0.0,-0.8556382244877154
9,2010-07-15,2.104846023915989,-56.96954238173456,50.103443159261985,2.104846023915989,2.104846023915989,-3.4980451403108686,-3.4980451403108686,-3.4980451403108686,-0.6562877815435677,-0.6562877815435677,-0.6562877815435677,-2.841757358767301,-2.841757358767301,-2.841757358767301,0.0,0.0,0.0,-1.3931991163948796
